,groupRef,typeRef,unit,value
2020-03-16 22:00:00+00:00,weatherRef,UBC Precipitation Intensity,mm,0.000000
2020-03-16 22:00:00+00:00,weatherRef,UBC Dewpoint,°C,0.000000
2020-03-16 22:00:00+00:00,weatherRef,UBC Cloud Cover,%,0.000000
2020-03-16 22:00:00+00:00,weatherRef,UBC Temp,°C,7.700000
2020-03-16 22:00:00+00:00,weatherRef,UBC Wind Bearing,deg,247.500000
2020-03-16 22:00:00+00:00,weatherRef,UBC Precipitation Probability,%,1.000000
2020-03-16 22:00:00+00:00,weatherRef,UBC Condition,omit,clear
2020-03-16 22:00:00+00:00,weatherRef,UBC Pressure,kPa,102.169998
2020-03-16 22:00:00+00:00,weatherRef,UBC Solar Radiation,W/m²,586.000000
2020-03-16 22:00:00+00:00,weatherRef,UBC Visibility,km,16.093000
2020-03-16 22:00:00+00:00,weatherRef,UBC Precipitation Type,omit,rain
2020-03-16 22:00:00+00:00,weatherRef,UBC Windspeed,m/s,4.680000
2020-03-16 22:00:00+00:00,weatherRef,UBC Humidity,%RH,67.000000
2020-03-16 22:04:19+00:00,weatherRef,UBC Running Mean Temp,°C,5.696513
2020-03-16 22:04:19+00:00,weatherRef,UBC Target Comfort Temp,°C,20.679849
2020-03-16 22:05:01+00:00,weatherRef,UBC Running Mean Temp,°C,5.731377
2020-03-16 22:05:01+00:00,weatherRef,UBC Target Comfort Temp,°C,20.691354
2020-03-16 22:11:10+00:00,weatherRef,UBC Running Mean Temp,°C,5.696511
2020-03-16 22:11:10+00:00,weatherRef,UBC Target Comfort Temp,°C,20.679849
2020-03-16 22:11:49+00:00,weatherRef,UBC Running Mean Temp,°C,5.731375
2020-03-16 22:11:49+00:00,weatherRef,UBC Target Comfort Temp,°C,20.691354
2020-03-16 22:18:04+00:00,weatherRef,UBC Running Mean Temp,°C,5.731373
2020-03-16 22:18:04+00:00,weatherRef,UBC Target Comfort Temp,°C,20.691353
2020-03-16 22:18:38+00:00,weatherRef,UBC Running Mean Temp,°C,5.731373
2020-03-16 22:18:38+00:00,weatherRef,UBC Target Comfort Temp,°C,20.691353
2020-03-16 22:25:01+00:00,weatherRef,UBC Running Mean Temp,°C,5.731371
2020-03-16 22:25:01+00:00,weatherRef,UBC Target Comfort Temp,°C,20.691352
2020-03-16 22:25:29+00:00,weatherRef,UBC Running Mean Temp,°C,5.731371
2020-03-16 22:25:29+00:00,weatherRef,UBC Target Comfort Temp,°C,20.691352
2020-03-16 22:31:49+00:00,weatherRef,UBC Running Mean Temp,°C,5.731369
2020-03-16 22:31:49+00:00,weatherRef,UBC Target Comfort Temp,°C,20.691352
2020-03-16 22:32:21+00:00,weatherRef,UBC Running Mean Temp,°C,5.731369
2020-03-16 22:32:21+00:00,weatherRef,UBC Target Comfort Temp,°C,20.691352
2020-03-16 22:38:38+00:00,weatherRef,UBC Running Mean Temp,°C,5.731367
2020-03-16 22:38:38+00:00,weatherRef,UBC Target Comfort Temp,°C,20.691351
2020-03-16 22:39:10+00:00,weatherRef,UBC Running Mean Temp,°C,5.731367
2020-03-16 22:39:10+00:00,weatherRef,UBC Target Comfort Temp,°C,20.691351
