id,ahuMode,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,boiler,bypass,ccmAHU4pumpVFD,ccmAHU5pumpVFD,ccmControlsOptMV,ccmFCU,ccmHPTest,ccmHeat,ccmHeatRecoveryMV,changeover,chilled,cmd,comp,condenser,connRef,cool,cooling,covTest,cur,curStatus,curVal,custom,damper,delta,differential,disMacro,disabled,discharge,dupOld2,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,filter,flow,gas,groupRef,heat,heatPump,heatRecovery,heating,heatingMode,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidifier,humidity,kind,lastSynced,lastTagged,lead,leaving,max,min,mode,modulating,motion,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,outside,perimeterHeat,point,pointType,power,pressure,pump,quantityID,rate,return,roomRef,run,runtime,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,stageDemanded,stageRequired,static,tagTableRef,tags,tank,temp,test2019,testUnits,tlName,tz,unit,utilityPoint,valve,vavMode,volume,water,zone,mod
@p:ubcv:r:2359218b-a6086da9 CCM Unsorted Points NW_EF_6_STROBIC_BYP_01,"",✓,"","",@p:ubcv:r:2304b905-7a00b8c8 CCM 057.0 CCM AHU 4AB SW CATWALK (580600),"",TL59,✓,NW_EF_6_STROBIC_BYP_01,"",✓,"","","","","","","","","",✓,"","",@p:ubcv:r:2304b905-7a00b8c8 CCM 057.0 CCM AHU 4AB SW CATWALK (580600),"","","","","","",✓,✓,"","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2020-05-12T14:12:27-07:00 Los_Angeles,"","",82788,2018-10-14T13:40:27-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:16:18.167-07:00 Los_Angeles,2019-01-31T10:24:20.811-08:00 Los_Angeles,"","","","","","","",Bypass Air Damper Cmd 01,"",AO105,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:23e65d0e-055d195c .+_BYP_0?1(_TL)?,"","","","","",NW_EF_6_STROBIC_BYP_01_POLL_TL,Los_Angeles,%,"","","","","","",2020-04-09T19:02:23.055Z UTC
@p:ubcv:r:235921ef-6c05a3a3 CCM AHU-06 AHU-06A CCM_AHU_06A_HUMV,"","","","",@p:ubcv:r:2304b905-43a9f40b CCM 057.0 CCM AHU6AB (580500),"",TL126,✓,CCM_AHU_06A_HUMV,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-43a9f40b CCM 057.0 CCM AHU6AB (580500),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dbc780-a7727642 CCM AHU-06 AHU-06A,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2020-05-12T14:10:00-07:00 Los_Angeles,"","",82083,2018-10-15T22:50:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:17:17.14-07:00 Los_Angeles,2019-01-31T10:24:21.577-08:00 Los_Angeles,"","","","","","","","Humidifier Valve ","","","","","","","","",✓,"","","","","","","","","","","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:2410474d-d4701ece .+_HUMV(_\d+)?(_TL)?,"","","","","",CCM_AHU_06A_HUMV_POLL_TL,Los_Angeles,%,"",✓,"","",✓,"",2020-04-09T19:02:22.923Z UTC
@p:ubcv:r:2311fd58-c8328b26 CCM AHU-01 CCM_AHU_01_SAT,"",✓,"","",@p:ubcv:r:2007bc45-82951d5d CCM AHU-1 (5800300),"",TL7,✓,CCM_AHU_01_SAT,"","","","","","","","","","","","","","",@p:ubcv:r:2007bc45-82951d5d CCM AHU-1 (5800300),"","","","","","","","","","",$equipRef $bmsName,"",✓,"","","","","","","","",@p:ubcv:r:23dbc780-8ba1aca0 CCM AHU-01,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2020-05-12T14:03:58-07:00 Los_Angeles,"","",89687,2018-08-21T14:18:20-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:13:34.281-07:00 Los_Angeles,2019-01-31T10:24:21.687-08:00 Los_Angeles,"","","","","","","",Discharge Air Temp,"",AI7,"","","","","","",✓,"","","","","","","","","","","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:24c508d8-1a2e5947 .+_SAT(_MUX)?(_TL)?,"","",✓,"","",CCM_AHU_01_SAT_TL,Los_Angeles,°C,"","","","","","",2020-04-09T19:02:22.828Z UTC
@p:ubcv:r:23592172-71cb1363 CCM Unsorted Points CCM_SF_01_REQ_MUXOUT_COV_TL,"","","","",@p:ubcv:r:2304b905-e4b2049a CCM 057.0 CCM STEAM HEX  (580100),"",TL9,✓,CCM_SF_01_REQ_MUXOUT_COV_TL,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-e4b2049a CCM 057.0 CCM STEAM HEX  (580100),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2019-11-13T11:52:14-08:00 Los_Angeles,"",cov,10,2018-11-05T10:31:13-08:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:14:16.652-07:00 Los_Angeles,2018-11-28T16:32:31.651-08:00 Los_Angeles,"","","","","","","",CCM_SF_01_REQ_MUXOUT_COV_TL,✓,BV21,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","","",Los_Angeles,"","","","","","","",2020-04-09T19:16:26.33Z UTC
@p:ubcv:r:22b585fe-e9fa147c CCM Unsorted Points CCM_HRC_P_W_20_SPD_FBK,"","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"",TL119,✓,CCM_HRC_P_W_20_SPD_FBK,"","","","","","","","","","","","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2020-05-12T14:16:03-07:00 Los_Angeles,"","",93842,2018-06-12T11:55:12-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:21:04.321-07:00 Los_Angeles,2019-01-31T10:24:21.174-08:00 Los_Angeles,"","","","","","","","Pump Speed ","",AV90,"","","","","","",✓,"","","",✓,"","","","","","","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","",✓,"","","","","",@p:ubcv:r:23e65d0f-d3abc682 .+_P_(W|S)_\d+_SPD_FBK(_TL)?,"","","","","",CCM_HRC_P_W_20_SPD_FBK_POLL_TL,Los_Angeles,%,"","","","","","",2020-04-09T19:02:22.229Z UTC
@p:ubcv:r:235921e7-a51b0bf1 CCM Rm 1112 FC-14 CCM_FCU_14_RT_AV,"",✓,"","",@p:ubcv:r:2304b9f4-26bc7d2c CCM CCM_FCU_14_EF (C (580205),"",TL1,✓,CCM_FCU_14_RT_AV,"","","","","",✓,"","","","","","","","",@p:ubcv:r:2304b9f4-26bc7d2c CCM CCM_FCU_14_EF (C (580205),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dcd603-6e3ab017 CCM Rm 1112 FC-14,✓,"","","","","","",@p:ubcv:r:23dbb94e-4db1f01c CCM Floor 1,"","","","","",✓,"","","",2020-05-12T14:08:04-07:00 Los_Angeles,"","",83140,2018-10-13T04:16:41-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:13:36.007-07:00 Los_Angeles,2019-01-31T10:24:21.748-08:00 Los_Angeles,"","","","","","","",Zone Temp,"",AV24,"","","","","","",✓,"","","","","","","",@p:ubcv:r:23dcd603-02b3f451 CCM Rm 1112,"","","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,"","",✓,"","",CCM_FCU_14_RT_TL,Los_Angeles,°C,"","","","","",✓,2020-04-09T19:02:22.698Z UTC
@p:ubcv:r:23071597-81c623fb CCM AHU-05 AHU-05B SF NW_AHU_05B_VFD_SPD_FB,"",✓,"","",@p:ubcv:r:2304b905-95c93d75 CCM 057.0 CCM AHU5AB (580700),"",TL22,✓,NW_AHU_05B_VFD_SPD_FB,"","","",✓,✓,"","","","","","","","","",@p:ubcv:r:2304b905-95c93d75 CCM 057.0 CCM AHU5AB (580700),"","","","","","","","","","",$equipRef $bmsName,"",✓,"","","","","","","","",@p:ubcv:r:2555ece1-4269ff33 CCM AHU-05 AHU-05B SF,✓,"",✓,✓,"","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2020-05-12T14:10:15-07:00 Los_Angeles,"","",91977,2018-08-12T15:12:16-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:17:25.277-07:00 Los_Angeles,2019-01-31T10:24:21.041-08:00 Los_Angeles,"","","","","","","",Discharge Fan Speed Feedback,"",AI101,"","","","","","",✓,"","","","","","","","","","","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","",✓,"","","","","",@p:ubcv:r:23e65d0e-7f38dd83 .+_AHU(_)?\d+[A-Z]?_VFD_SPD_FB(_TL)?,"","","","","",NW_AHU_05B_VFD_SPD_FB_POLL_TL,Los_Angeles,%,"","","","","","",2020-04-09T19:02:23.236Z UTC
@p:ubcv:r:23592239-3793e233 CCM Unsorted Points SGAV_4_05_RT_POLL_TL,"","","","",@p:ubcv:r:2304b905-531afc84 CCM 057.0 CCM EF4ABC SW CATWALK (580900),"",TL50,✓,SGAV_4_05_RT_POLL_TL,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-531afc84 CCM 057.0 CCM EF4ABC SW CATWALK (580900),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2019-07-22T08:13:47-07:00 Los_Angeles,"","",26813,2018-10-15T19:41:24-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:21:04.496-07:00 Los_Angeles,2019-01-31T10:24:21.838-08:00 Los_Angeles,"","","","","","","",SGAV_4_05_RT_POLL_TL,✓,AV383,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","","",Los_Angeles,_,"","","","","","",2020-04-09T19:15:21.643Z UTC
@p:ubcv:r:2359209a-3600eba3 CCM Unsorted Points CCM_STM_BLR_FLW,"","","","",@p:ubcv:r:2304b905-4af24d6a CCM 057.0 CCM_BLR_PNL CP581100 (581100),"",TL53,✓,CCM_STM_BLR_FLW,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-4af24d6a CCM 057.0 CCM_BLR_PNL CP581100 (581100),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2020-05-12T14:13:00-07:00 Los_Angeles,"","",718951,2018-10-16T08:44:00-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:13:12.493-07:00 Los_Angeles,2018-11-28T16:32:48.663-08:00 Los_Angeles,"","","","","","","",CCM_STM_BLR_FLW,✓,AI2205,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",CCM_STM_BLR_FLW_TL,Los_Angeles,lb/h,"","","","","","",2020-04-09T19:02:23.496Z UTC
@p:ubcv:r:2359209a-0cf688af CCM Heat Pump Plant B-04 PB4 CCM_BLR_P_B4_DP,"","","","",@p:ubcv:r:2304b905-4af24d6a CCM 057.0 CCM_BLR_PNL CP581100 (581100),"",TL10,✓,CCM_BLR_P_B4_DP,✓,"","","","","","","","","","","","","",@p:ubcv:r:2304b905-4af24d6a CCM 057.0 CCM_BLR_PNL CP581100 (581100),"","","","","","","","",✓,✓,$equipRef $equipName $bmsName,"","","","","","","","","",PB4,@p:ubcv:r:23dccabf-4b2fbd61 CCM Heat Pump Plant B-04,✓,"","","","","","",@p:ubcv:r:216986a9-44c05452 CCM Hydronic Systems,"","","","","",✓,"","","",2020-05-12T14:08:33-07:00 Los_Angeles,"","",129526,2018-10-16T08:28:36-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:13:04.644-07:00 Los_Angeles,2018-11-28T16:32:48.722-08:00 Los_Angeles,"","","","","","","",Boiler Differential Pressure,"",AI1402,"","","","","","",✓,"","",✓,✓,"","","","","","","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:24140908-84201fd9 .+_BLR_.+_DP(_TL)?,"","","","","",CCM_BLR_P_B4_DP_TL,Los_Angeles,kPa,"","","","","","",2020-05-12T11:03:27.068Z UTC
@p:ubcv:r:23592114-9ac237b4 CCM Unsorted Points CCM_FCU_23_RT_AV,"",✓,"","",@p:ubcv:r:2304c375-e9b044f9 CCM CCM_FCU_23 (580622),"",TL1,✓,CCM_FCU_23_RT_AV,"","","","","",✓,"","","","","","","","",@p:ubcv:r:2304c375-e9b044f9 CCM CCM_FCU_23 (580622),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2020-05-12T14:19:23-07:00 Los_Angeles,"","",83128,2018-10-13T04:12:41-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:24:18.131-07:00 Los_Angeles,2019-01-31T10:24:21.315-08:00 Los_Angeles,"","","","","","","",Zone Temp,"",AV24,"","","","","","",✓,"","","","","","","","","","","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,"","",✓,"","",CCM_FCU_23_RT_TL,Los_Angeles,°C,"","","","","",✓,2020-04-09T19:02:23.186Z UTC
@p:ubcv:r:22b58600-6c835a75 CCM Unsorted Points CCM_HRC_LEAD_PUMP_MV,"","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"",TL69,✓,CCM_HRC_LEAD_PUMP_MV,"","","","","","","","","","","","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","W_P19,W_P20","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","-1 enumNumberToStr(self, false)",2018-03-28T16:55:03-07:00 Los_Angeles,"",cov,1,2018-03-28T16:55:03-07:00 Los_Angeles,ok,"","","","",Str,2020-05-12T14:21:03.828-07:00 Los_Angeles,2018-11-28T16:33:00.915-08:00 Los_Angeles,"","","","","","","",CCM_HRC_LEAD_PUMP_MV,✓,MSV7,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",CCM_HRC_LEAD_PUMP_MV_COV_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:25.508Z UTC
@p:ubcv:r:235921a3-661922d8 CCM Rm 1120 FC-19 CCM_FCU_19_SF_C,"",✓,"","",@p:ubcv:r:2304b9f4-be0ebd62 CCM CCM_FCU_19_UH1_UH2_EF10_QEL (580202),"",TL7,✓,CCM_FCU_19_SF_C,"","","","","",✓,"","","","","",✓,"","",@p:ubcv:r:2304b9f4-be0ebd62 CCM CCM_FCU_19_UH1_UH2_EF10_QEL (580202),"","","","","","","","","","",$equipRef $bmsName,"",✓,"","","","","","","OFF,ON","",@p:ubcv:r:23dcd603-c773cf0a CCM Rm 1120 FC-19,✓,"",✓,"","","","",@p:ubcv:r:23dbb94e-4db1f01c CCM Floor 1,"","","","","",✓,"","","",2020-04-08T11:43:46-07:00 Los_Angeles,"","",695,2018-10-14T03:00:11-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:23:28.569-07:00 Los_Angeles,2019-01-31T10:24:21.987-08:00 Los_Angeles,"","","","","","","",Discharge Fan Run Cmd,"",BO1,"","","","","","",✓,"","","","","","","",@p:ubcv:r:23dcaa19-1e5fb3a2 CCM Rm 1120,✓,"","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:23e65d0f-383558cd (.+_)?SF(\d+)?(_(S|N)\d_\d+)?_F?C(_TL)?,"","","","","",CCM_FCU_19_FAN_CONTROL_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:27.933Z UTC
@p:ubcv:r:235920a5-d61314b4 CCM AHU-05 NW_AHU_05_SPACE_RH_SP,"",✓,"","",@p:ubcv:r:2304b905-95c93d75 CCM 057.0 CCM AHU5AB (580700),"",TL75,✓,NW_AHU_05_SPACE_RH_SP,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-95c93d75 CCM 057.0 CCM AHU5AB (580700),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23e50077-f2b4b419 CCM AHU-05,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2020-05-12T14:14:55-07:00 Los_Angeles,"","",82463,2018-10-15T06:03:23-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:17:22.485-07:00 Los_Angeles,2019-01-31T10:24:20.678-08:00 Los_Angeles,"","","","","","","",Zone Relative Humidity Sp,"",AV81,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"",✓,"","","","","","",@p:ubcv:r:23e65d0f-21ed9a49 .+_RH_SP(_TL)?,"","","","","",NW_AHU_05_SAH_SP_POLL_TL,Los_Angeles,%RH,"","","","","",✓,2020-04-09T19:02:23.245Z UTC
@p:ubcv:r:23592126-d67bd67f CCM Rm 1001 FC-01 CCM_FCU_01_RT_SP,"",✓,"","",@p:ubcv:r:2304b9f4-310992a0 CCM CCM_FCU_01 (580212),"",TL2,✓,CCM_FCU_01_RT_SP,"","","","","",✓,"","","","","","","","",@p:ubcv:r:2304b9f4-310992a0 CCM CCM_FCU_01 (580212),"","","","","","","","","","",$equipRef $bmsName,"","","",✓,"","","","","","",@p:ubcv:r:23dcd602-db0b3749 CCM Rm 1001 FC-01,✓,"","","","","","",@p:ubcv:r:23dbb94e-4db1f01c CCM Floor 1,"","","","","",✓,"","","",2020-05-12T14:12:18-07:00 Los_Angeles,"","",82565,2018-10-15T06:16:17-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:12:35.118-07:00 Los_Angeles,2019-01-31T10:24:21.516-08:00 Los_Angeles,"","","","","","","",Zone Temp Effective Sp,"",AV6,"","","","","","",✓,"","","","","","","",@p:ubcv:r:23dcd5ff-1a00eb19 CCM Rm 1001,"","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"",✓,"","","","","","",@p:ubcv:r:23e65d0f-9a7e5f45 .+_RT_SP(_AV)?(_TL)?,"","",✓,"","",CCM_FCU_01_RT_SP_TL,Los_Angeles,°C,"","","","","",✓,2020-04-09T19:02:22.759Z UTC
@p:ubcv:r:23592139-35e1150a CCM AHU-02 CCM_AHU_02_MOTION_TRIP_MUXIN,"","","","",@p:ubcv:r:2304b905-c4df2203 CCM 057.0 CCM AHU2/3 EF 3 SE CATWALK (580400),"",TL27,✓,CCM_AHU_02_MOTION_TRIP_MUXIN,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-c4df2203 CCM 057.0 CCM AHU2/3 EF 3 SE CATWALK (580400),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:23dbc780-0e4cde96 CCM AHU-02,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2019-12-08T21:56:39-08:00 Los_Angeles,"","",4027,2018-10-11T15:37:14-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:12:33.406-07:00 Los_Angeles,2018-11-28T16:32:47.359-08:00 Los_Angeles,"","","","","","","",CCM_AHU_02_MOTION_TRIP_MUXIN,✓,BV111,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",CCM_AHU_02_MOTION_TRIP_MUXIN_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:25.509Z UTC
@p:ubcv:r:2359218b-f3a7dcfa CCM Unsorted Points MN_E_AHU_04_B_COILPUMP_DEMAND_VLV,"","","","",@p:ubcv:r:2304b905-7a00b8c8 CCM 057.0 CCM AHU 4AB SW CATWALK (580600),"",TL11,✓,MN_E_AHU_04_B_COILPUMP_DEMAND_VLV,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-7a00b8c8 CCM 057.0 CCM AHU 4AB SW CATWALK (580600),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2020-05-11T22:55:07-07:00 Los_Angeles,"",cov,9517,2018-10-12T23:19:51-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:16:16.059-07:00 Los_Angeles,2018-11-28T16:33:01.637-08:00 Los_Angeles,"","","","","","","",MN_E_AHU_04_B_COILPUMP_DEMAND_VLV,✓,BV92,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",MN_E_AHU_04_B_COILPUMP_DEMAND_VLV_COV_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:27.105Z UTC
@p:ubcv:r:2359218b-4719f765 CCM Unsorted Points S_AHU4A_VFD_STATUS,"","","","",@p:ubcv:r:2304b905-7a00b8c8 CCM 057.0 CCM AHU 4AB SW CATWALK (580600),"",TL39,✓,S_AHU4A_VFD_STATUS,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-7a00b8c8 CCM 057.0 CCM AHU 4AB SW CATWALK (580600),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2020-05-11T10:13:09-07:00 Los_Angeles,"",cov,120,2018-11-05T10:09:51-08:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:16:14.796-07:00 Los_Angeles,2018-11-28T16:32:55.486-08:00 Los_Angeles,"","","","","","","",S_AHU4A_VFD_STATUS,✓,BV30,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",S_AHU4A_VFD_STATUS_COV_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:27.108Z UTC
@p:ubcv:r:235920fc-3eb0c30c CCM Rm 1002 FC-06 CCM_FCU_06_SAT,"",✓,"","",@p:ubcv:r:2304b9f4-48583f9a CCM CCM_FCU_06 Motion (580211),"",TL30,✓,CCM_FCU_06_SAT,"","","","","",✓,"","","","","","","","",@p:ubcv:r:2304b9f4-48583f9a CCM CCM_FCU_06 Motion (580211),"","","","","","","","","","",$equipRef $bmsName,"",✓,"","","","","","","","",@p:ubcv:r:23dcd602-54e9b0d4 CCM Rm 1002 FC-06,✓,"","","","","","",@p:ubcv:r:23dbb94e-4db1f01c CCM Floor 1,"","","","","",✓,"","","",2020-05-12T14:23:03-07:00 Los_Angeles,"","",83115,2018-10-13T04:23:34-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:25:09.872-07:00 Los_Angeles,2019-01-31T10:24:21.131-08:00 Los_Angeles,"","","","","","","",Discharge Air Temp,"",AI2,"","","","","","",✓,"","","","","","","",@p:ubcv:r:23dcd602-cfc30680 CCM Rm 1002,"","","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:24c508d8-1a2e5947 .+_SAT(_MUX)?(_TL)?,"","",✓,"","",CCM_FCU_06_SAT_TL,Los_Angeles,°C,"","","","","","",2020-04-09T19:02:22.751Z UTC
@p:ubcv:r:235920ed-9275b596 CCM AHU-01 CCM_AHU_01_AVG_SPACE_RH_MUXIN,"","","","",@p:ubcv:r:2007bc45-82951d5d CCM AHU-1 (5800300),"",TL35,✓,CCM_AHU_01_AVG_SPACE_RH_MUXIN,"","","","","","","","","","","","","","",@p:ubcv:r:2007bc45-82951d5d CCM AHU-1 (5800300),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dbc780-8ba1aca0 CCM AHU-01,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2020-05-12T14:03:58-07:00 Los_Angeles,"","",81917,2018-10-14T13:27:33-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:13:34.306-07:00 Los_Angeles,2018-11-28T16:32:50.445-08:00 Los_Angeles,"","","","","","","",CCM_AHU_01_AVG_SPACE_RH_MUXIN,✓,AV80,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",CCM_AHU_01_AVG_SPACE_HUMID_POLL_TL,Los_Angeles,%RH,"","","","","","",2020-04-09T19:02:22.833Z UTC
@p:ubcv:r:22d5eee1-4f14a76b CCM Unsorted Points W_CIRC_SELECT_CHWP_SPEED_POLL_TL,"","","","",@p:ubcv:r:226ce633-67758708 CCM 057.0 CCM MECH MEZZ RM 1147A (580200),"",TL142,✓,W_CIRC_SELECT_CHWP_SPEED_POLL_TL,"","","","","","","","","","","","","","",@p:ubcv:r:226ce633-67758708 CCM 057.0 CCM MECH MEZZ RM 1147A (580200),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2020-05-12T14:07:16-07:00 Los_Angeles,"","",95756,2018-07-08T17:11:58-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:16:22.492-07:00 Los_Angeles,2018-11-28T16:32:51.477-08:00 Los_Angeles,"","","","","","","",W_CIRC_SELECT_CHWP_SPEED_POLL_TL,✓,AV123,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","","",Los_Angeles,_,"","","","","","",2020-04-09T19:15:21.239Z UTC
