id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,chilled,chiller,cmd,co2,condenser,connRef,cooling,coolingTower,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,domestic,effective,elec,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,feedback,filter,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,kind,lastSynced,lastTagged,leaving,low,max,mixed,mixing,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,pointType,power,preheat,pressure,proj_1830_3W2W,pump,quantityID,return,roomRef,run,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,temp,testUnits,tlName,tz,unit,utilityPoint,valve,volume,water,zachName,zone,mod
@p:ubcv:r:25a72fc1-b929dc0c Buchanan Tower Unsorted Points JCL-NAE05/FCB-02.FEC-027.ZN-SP,✓,"",@p:ubcv:r:257d5bd3-9a3ffa02 BUTO (NAE-05),"",TL3004264,"",JCL-NAE05/FCB-02.FEC-027.ZN-SP,"","","","","",@p:ubcv:r:257d5bd3-9a3ffa02 BUTO (NAE-05),"","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:238b4731-78b3b4ff Buchanan Tower Unsorted Points,"","","","","",@p:ubcv:r:238b4731-e442fe9a Buchanan Tower Unsorted Points,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",12133,2020-01-06T13:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:15:34.424-07:00 Los_Angeles,"","","","","","",Zone Temp Effective Sp,"",AV3002925,"","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"",✓,"","","",@p:ubcv:r:2538dbc2-74c2178f .+(\.|-| )ZN-SP,✓,"",JCL-NAE05/FCB-02.FEC-027.ZN-SP.Trend1,Los_Angeles,°C,"","","","",1200.AHU-01.FC-08-26.ZN-SP,✓,2020-04-09T19:01:58.025Z UTC
@p:ubcv:r:25a72fc1-90387f13 Buchanan Tower Unsorted Points JCL-NAE05/FCB-02.FEC-028.ZN-SP,✓,"",@p:ubcv:r:257d5bd3-9a3ffa02 BUTO (NAE-05),"",TL3004288,"",JCL-NAE05/FCB-02.FEC-028.ZN-SP,"","","","","",@p:ubcv:r:257d5bd3-9a3ffa02 BUTO (NAE-05),"","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:238b4731-78b3b4ff Buchanan Tower Unsorted Points,"","","","","",@p:ubcv:r:238b4731-e442fe9a Buchanan Tower Unsorted Points,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",12133,2020-01-06T13:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:15:34.426-07:00 Los_Angeles,"","","","","","",Zone Temp Effective Sp,"",AV3002935,"","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"",✓,"","","",@p:ubcv:r:2538dbc2-74c2178f .+(\.|-| )ZN-SP,✓,"",JCL-NAE05/FCB-02.FEC-028.ZN-SP.Trend1,Los_Angeles,°C,"","","","",1200.AHU-01.FC-08-27.ZN-SP,✓,2020-04-09T19:01:58.026Z UTC
@p:ubcv:r:238b479a-6d4c56f5 Buchanan Tower Rm 0920 FC-09-020 JCL-NAE15/FC-A.15A-FEC024.CLG-O,"","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3006587,✓,JCL-NAE15/FC-A.15A-FEC024.CLG-O,✓,"",✓,"","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),✓,"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:257da866-ff600cc2 Buchanan Tower Rm 0920 FC-09-020,"","","","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50707,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:55.226-07:00 Los_Angeles,2018-12-07T09:45:31.899-08:00 Los_Angeles,"","","","","",Cooling Valve Cmd,"",AO3006586,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-2f7d5405 Buchanan Tower Rm 0920,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-51bf01a3 .+(\.|-| )CLG-(O|VLV),"","",JCL-NAE15/FC-A.15A-FEC024.CLG-O.Trend1,Los_Angeles,%,"",✓,"",✓,BUTO.RM-0920 - FC-09-020.CLG-O,"",2020-04-09T19:02:00.408Z UTC
@p:ubcv:r:238b4742-abfc0c3d Buchanan Tower Unsorted Points JCL-NAE17/FCB.17B-FEC006.SF-S,✓,"",@p:ubcv:r:21e1729b-a61b1e8f BUTO (NAE-17),"",TL3000265,✓,JCL-NAE17/FCB.17B-FEC006.SF-S,"","","","","",@p:ubcv:r:21e1729b-a61b1e8f BUTO (NAE-17),"","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","Off,On","",@p:ubcv:r:238b4731-78b3b4ff Buchanan Tower Unsorted Points,"",✓,"","","",@p:ubcv:r:238b4731-e442fe9a Buchanan Tower Unsorted Points,"",✓,"","","",2020-05-04T10:25:26-07:00 Los_Angeles,"","","",859,2018-11-18T22:01:32-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:13:34.206-07:00 Los_Angeles,2018-12-07T09:45:32.08-08:00 Los_Angeles,"","","","","",Discharge Fan Run Status,"",BI3000220,"","","","",✓,"","","","","","","","","",✓,"",✓,@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-fc9f50e0 .+(\.|-| )SF(\d+)?-S(.Trend\d)?,"","",JCL-NAE17/FCB.17B-FEC006.SF-S.Trend1,Los_Angeles,"","","","","",BUTO.RM-104A.FC104a.SF-S,"",2020-04-08T18:55:46.183Z UTC
@p:ubcv:r:257d5cc3-6ebe7c48 Buchanan Tower Rm 0321 FC-03-022 JCL-NAE18/FCB-01.FEC-023.SF1-S,✓,"",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"",TL3002624,"",JCL-NAE18/FCB-01.FEC-023.SF1-S,"","","","","",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","Off,On","",@p:ubcv:r:257da867-7c77ce90 Buchanan Tower Rm 0321 FC-03-022,"",✓,"","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,"",✓,"","","",2020-05-08T18:15:32-07:00 Los_Angeles,"","","",591,2019-12-02T20:00:08-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:19:54.173-07:00 Los_Angeles,"","","","","","",Discharge Fan Run Status,"",BI3002623,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-9392b834 Buchanan Tower Rm 0321,✓,"",✓,@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-fc9f50e0 .+(\.|-| )SF(\d+)?-S(.Trend\d)?,"","",JCL-NAE18/FCB-01.FEC-023.SF1-S.Trend1,Los_Angeles,"","","","","","RM-0321 - FC-09-020, FC-03-021, FC-03-022.SF1-S","",2020-04-08T18:52:39.98Z UTC
@p:ubcv:r:238b4799-63397b7d Buchanan Tower Rm 0901 FC-09-001 JCL-NAE15/FC-A.15A-FEC004.HTG-O,"","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3005876,✓,JCL-NAE15/FC-A.15A-FEC004.HTG-O,"","",✓,"","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:257da5e1-816f987e Buchanan Tower Rm 0901 FC-09-001,"","","","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,✓,✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50707,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:19:55.292-07:00 Los_Angeles,2018-12-07T09:45:31.136-08:00 Los_Angeles,"","","","","",Heating Valve Cmd,"",AO3005875,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da5e1-ca53462e Buchanan Tower Rm 0901,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE15/FC-A.15A-FEC004.HTG-O.Trend1,Los_Angeles,%,"",✓,"",✓,BUTO.RM-0901 - FC-09-001.HTG-O,"",2020-04-09T19:02:00.41Z UTC
@p:ubcv:r:238b479a-026bbac7 Buchanan Tower Rm 0923 FC-09-023 JCL-NAE15/FC-A.15A-FEC028.HTG-O,"","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3006729,✓,JCL-NAE15/FC-A.15A-FEC028.HTG-O,"","",✓,"","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:257da866-28428210 Buchanan Tower Rm 0923 FC-09-023,"","","","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,✓,✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50707,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:19:55.3-07:00 Los_Angeles,2018-12-07T09:45:31.528-08:00 Los_Angeles,"","","","","",Heating Valve Cmd,"",AO3006728,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-0572d3e1 Buchanan Tower Rm 0923,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE15/FC-A.15A-FEC028.HTG-O.Trend1,Los_Angeles,%,"",✓,"",✓,BUTO.RM-0923 - FC-09-023.HTG-O,"",2020-04-09T19:02:00.411Z UTC
@p:ubcv:r:238b479a-5e011ebc Buchanan Tower Rm 0926 FC-09-026 JCL-NAE15/FC-A.15A-FEC031.ZN-T,✓,"",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3006819,✓,JCL-NAE15/FC-A.15A-FEC031.ZN-T,"","","","","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:257da866-c6c71ace Buchanan Tower Rm 0926 FC-09-026,"","","","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50707,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:55.307-07:00 Los_Angeles,2018-12-07T09:45:31.643-08:00 Los_Angeles,"","","","","",Zone Temp,"",AI3006817,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-4b3ce675 Buchanan Tower Rm 0926,"","",✓,@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,"",JCL-NAE15/FC-A.15A-FEC031.ZN-T.Trend1,Los_Angeles,°C,"","","","",BUTO.RM-0926 - FC-09-026.ZN-T,✓,2020-04-09T19:02:00.412Z UTC
@p:ubcv:r:238b479a-3a05afcb Buchanan Tower Rm 1011 FC-10-011 JCL-NAE15/FC-A.15A-FEC045.HTG-O,"","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3007289,✓,JCL-NAE15/FC-A.15A-FEC045.HTG-O,"","",✓,"","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:257dabc2-c012c7b8 Buchanan Tower Rm 1011 FC-10-011,"","","","","",@p:ubcv:r:257dabab-bea9c5e8 Buchanan Tower Floor 1,✓,✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50707,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:19:55.315-07:00 Los_Angeles,2018-12-07T09:45:30.954-08:00 Los_Angeles,"","","","","",Heating Valve Cmd,"",AO3007288,"","","","",✓,"","","","","","","","",@p:ubcv:r:257dabc2-16d6fec1 Buchanan Tower Rm 1011,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE15/FC-A.15A-FEC045.HTG-O.Trend1,Los_Angeles,%,"",✓,"",✓,BUTO.RM-1011 - FC-10-011.HTG-O,"",2020-04-09T19:02:00.413Z UTC
@p:ubcv:r:261883a9-01d8b009 Buchanan Tower AHU-01 JCL-NAE16/FCB.16B-FEC013.OEAD-C,"","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"",TL3002185,"",JCL-NAE16/FCB.16B-FEC013.OEAD-C,"","","","","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","Close,Open","",@p:ubcv:r:257da3cd-3c162dd2 Buchanan Tower AHU-01,"","","","","",@p:ubcv:r:257da38f-66421eb2 Buchanan Tower Air Systems,"",✓,"","","",2020-04-24T09:34:22-07:00 Los_Angeles,"","","",42,2020-03-28T09:00:02-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:22:47.999-07:00 Los_Angeles,"","","","","","",JCL-NAE16/FCB.16B-FEC013.OEAD-C,✓,BO3002184,"","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","","","","",JCL-NAE16/FCB.16B-FEC013.OEAD-C.Trend1,Los_Angeles,"","","","","",BUTO.AHU-1.OEAD-C,"",2020-04-08T18:52:55.108Z UTC
@p:ubcv:r:238b47ce-7eb6618d Buchanan Tower AHU-02 JCL-NAE16/FCB.16B-FEC014.HC-O,"","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"",TL3000618,✓,JCL-NAE16/FCB.16B-FEC014.HC-O,"","","","","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:257da38f-cb97192a Buchanan Tower AHU-02,"","","","","",@p:ubcv:r:257da38f-66421eb2 Buchanan Tower Air Systems,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",51260,2018-11-22T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:22:49.034-07:00 Los_Angeles,2018-11-25T13:45:23.8-08:00 Los_Angeles,"","","","","",JCL-NAE16/FCB.16B-FEC014.HC-O,✓,AO3000260,"","","","",✓,"","","","",✓,"","","","","","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","","","","",JCL-NAE16/FCB.16B-FEC014.HC-O.Trend1,Los_Angeles,%,"","","","",BUTO.AHU-2.HC-O,"",2020-04-09T19:02:00.734Z UTC
@p:ubcv:r:238b479b-22dc2568 Buchanan Tower Rm 1097 SAV-10-001 JCL-NAE15/FC-A.15A-VMA053.DPR-O,✓,"",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3007587,✓,JCL-NAE15/FC-A.15A-VMA053.DPR-O,"","",✓,"","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","",✓,"","","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:257dabab-8d12935b Buchanan Tower Rm 1097 SAV-10-001,"","","","","",@p:ubcv:r:257dabab-bea9c5e8 Buchanan Tower Floor 1,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50707,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:55.332-07:00 Los_Angeles,2018-12-07T09:45:31.995-08:00 Los_Angeles,"","","","","",Discharge Air Damper Cmd,"",AO3007586,"","","","",✓,"","","","","","","","",@p:ubcv:r:257dabab-cac64c1b Buchanan Tower Rm 1097,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-13728f49 .+(\.|-| )DPR(\d)?-(C|O),"","",JCL-NAE15/FC-A.15A-VMA053.DPR-O.Trend1,Los_Angeles,%,"","","","",BUTO.RM-1097 - SAV-10-001.DPR-O,"",2020-04-09T19:02:00.415Z UTC
@p:ubcv:r:257d5cc3-c23f7fa7 Buchanan Tower Rm 0322 FC-03-025 JCL-NAE18/FCB-01.FEC-024.ZN-T,✓,"",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"",TL3002645,"",JCL-NAE18/FCB-01.FEC-024.ZN-T,"","","","","",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:257da868-f691167c Buchanan Tower Rm 0322 FC-03-025,"","","","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",15139,2019-12-05T22:45:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:54.417-07:00 Los_Angeles,"","","","","","",Zone Temp,"",AI3002643,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-827aee93 Buchanan Tower Rm 0322,"","",✓,@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,"",JCL-NAE18/FCB-01.FEC-024.ZN-T.Trend1,Los_Angeles,°C,"","","","","RM-0322 - FC-09-023, FC-03-024, FC-03-025.ZN-T",✓,2020-04-09T19:02:00.956Z UTC
@p:ubcv:r:257d5cc3-4c946d2c Buchanan Tower Rm 0323 FC-03-028 JCL-NAE18/FCB-01.FEC-026.ZN-T,✓,"",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"",TL3002728,"",JCL-NAE18/FCB-01.FEC-026.ZN-T,"","","","","",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:257da868-eaf33a75 Buchanan Tower Rm 0323 FC-03-028,"","","","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",15139,2019-12-05T22:45:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:54.422-07:00 Los_Angeles,"","","","","","",Zone Temp,"",AI3002726,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-767ec9c1 Buchanan Tower Rm 0323,"","",✓,@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,"",JCL-NAE18/FCB-01.FEC-026.ZN-T.Trend1,Los_Angeles,°C,"","","","","RM-0323 - FC-09-026, FC-03-027, FC-03-028.ZN-T",✓,2020-04-09T19:02:00.958Z UTC
@p:ubcv:r:257d5cc3-5f4f0560 Buchanan Tower Rm 0304 FC-03-004 JCL-NAE18/FCB-01.FEC-007.ZN-SP,✓,"",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"",TL3002114,"",JCL-NAE18/FCB-01.FEC-007.ZN-SP,"","","","","",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:257da867-43b5345e Buchanan Tower Rm 0304 FC-03-004,"","","","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",15139,2019-12-05T22:45:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:54.434-07:00 Los_Angeles,"","","","","","",Zone Temp Effective Sp,"",AV3002113,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-c255335f Buchanan Tower Rm 0304,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"",✓,"","","",@p:ubcv:r:2538dbc2-74c2178f .+(\.|-| )ZN-SP,✓,"",JCL-NAE18/FCB-01.FEC-007.ZN-SP.Trend1,Los_Angeles,°C,"","","","",RM-0304 - FC-03-004.ZN-SP,✓,2020-04-09T19:02:00.96Z UTC
@p:ubcv:r:238b479a-cbb7d4e5 Buchanan Tower Rm 1002 FC-10-002 JCL-NAE15/FC-A.15A-FEC035.SF-S,✓,"",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3006959,✓,JCL-NAE15/FC-A.15A-FEC035.SF-S,"","","","","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","Off,On","",@p:ubcv:r:257dabc2-4ef95e32 Buchanan Tower Rm 1002 FC-10-002,"",✓,"","","",@p:ubcv:r:257dabab-bea9c5e8 Buchanan Tower Floor 1,"",✓,"","","",2020-05-07T07:06:11-07:00 Los_Angeles,"","","",1869,2018-12-12T20:00:11-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:19:54.931-07:00 Los_Angeles,2018-12-07T09:45:31.361-08:00 Los_Angeles,"","","","","",Discharge Fan Run Status,"",BI3006958,"","","","",✓,"","","","","","","","",@p:ubcv:r:257dabc2-28cf807f Buchanan Tower Rm 1002,✓,"",✓,@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-fc9f50e0 .+(\.|-| )SF(\d+)?-S(.Trend\d)?,"","",JCL-NAE15/FC-A.15A-FEC035.SF-S.Trend1,Los_Angeles,"","","","","",BUTO.RM-1002 - FC-10-002.SF-S,"",2020-04-08T18:50:16.542Z UTC
@p:ubcv:r:238b479a-45c0a270 Buchanan Tower Rm 0919 FC-09-019 JCL-NAE15/FC-A.15A-FEC023.ZN-T,✓,"",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3006547,✓,JCL-NAE15/FC-A.15A-FEC023.ZN-T,"","","","","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:257da866-2451bc6d Buchanan Tower Rm 0919 FC-09-019,"","","","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50707,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:55.363-07:00 Los_Angeles,2018-12-07T09:45:31.709-08:00 Los_Angeles,"","","","","",Zone Temp,"",AI3006545,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-94a8ee53 Buchanan Tower Rm 0919,"","",✓,@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,"",JCL-NAE15/FC-A.15A-FEC023.ZN-T.Trend1,Los_Angeles,°C,"","","","",BUTO.RM-0919 - FC-09-019.ZN-T,✓,2020-04-09T19:02:00.419Z UTC
@p:ubcv:r:238b479a-e661f9a6 Buchanan Tower Rm 0925 FC-09-025 JCL-NAE15/FC-A.15A-FEC030.SF-S,✓,"",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3006799,✓,JCL-NAE15/FC-A.15A-FEC030.SF-S,"","","","","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","Off,On","",@p:ubcv:r:257da866-65e81f93 Buchanan Tower Rm 0925 FC-09-025,"",✓,"","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,"",✓,"","","",2020-05-05T08:16:01-07:00 Los_Angeles,"","","",1540,2018-11-20T12:16:33-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:19:55.058-07:00 Los_Angeles,2018-12-07T09:45:31.698-08:00 Los_Angeles,"","","","","",Discharge Fan Run Status,"",BI3006798,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-0d5e2f3e Buchanan Tower Rm 0925,✓,"",✓,@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-fc9f50e0 .+(\.|-| )SF(\d+)?-S(.Trend\d)?,"","",JCL-NAE15/FC-A.15A-FEC030.SF-S.Trend1,Los_Angeles,"","","","","",BUTO.RM-0925 - FC-09-025.SF-S,"",2020-04-08T18:50:28.275Z UTC
@p:ubcv:r:257d5cc3-7389dacb Buchanan Tower Rm 0303 FC-03-003 JCL-NAE18/FCB-01.FEC-006.CLG-O,"","",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"",TL3002088,"",JCL-NAE18/FCB-01.FEC-006.CLG-O,✓,"",✓,"","",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),✓,"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:257da867-496368f6 Buchanan Tower Rm 0303 FC-03-003,"","","","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",15139,2019-12-05T22:45:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:54.454-07:00 Los_Angeles,"","","","","","",Cooling Valve Cmd,"",AO3002087,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-0068f000 Buchanan Tower Rm 0303,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-51bf01a3 .+(\.|-| )CLG-(O|VLV),"","",JCL-NAE18/FCB-01.FEC-006.CLG-O.Trend1,Los_Angeles,%,"",✓,"",✓,RM-0303 - FC-03-003.CLG-O,"",2020-04-09T19:02:00.965Z UTC
