id,air,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,connRef,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,disMacro,discharge,elec,energy,entering,enum,equipRef,exhaust,fan,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,kind,lastSynced,lastTagged,leaving,mixed,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,power,pump,quantityID,return,run,scheduleOcc,sensor,siteRef,sourceID,sp,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:238b4247-5ed305ce Sing Tao Unsorted Points JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.This Hours Consumption,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000975,✓,JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.This Hours Consumption,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T00:00:00-07:00 Los_Angeles,"","",541,2018-11-19T00:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.941-07:00 Los_Angeles,2018-11-25T13:45:23.585-08:00 Los_Angeles,"","",JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.This Hours Consumption,✓,AV3000440,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.This Hours Consumption.Trend1,Los_Angeles,MWh,"","","","","",2020-04-09T19:02:17.509Z UTC
@p:ubcv:r:238b4247-5e45acb2 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-3.SJ-HW_OA-T,✓,@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000346,✓,JCL-NAE56/N2-1.SJ-DC-3.SJ-HW_OA-T,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:39.049-07:00 Los_Angeles,2018-11-25T13:45:23.842-08:00 Los_Angeles,"","",Outside Air Temp,"",AI3000118,"","","",✓,✓,"","","","","","",✓,@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","",@p:ubcv:r:23e65d3d-5671e7b8 .+(\.|-| |_)OA(_|-)T,✓,JCL-NAE56/N2-1.SJ-DC-3.SJ-HW_OA-T.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:17.51Z UTC
@p:ubcv:r:238b4247-0c77c96e Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_EF7-DPR,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000197,✓,JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_EF7-DPR,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T00:00:00-07:00 Los_Angeles,"","",541,2018-11-19T00:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.943-07:00 Los_Angeles,2018-11-25T13:45:23.949-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_EF7-DPR,✓,AO3000032,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_EF7-DPR.Trend1,Los_Angeles,_,"","","","","",2020-04-09T19:15:20.436Z UTC
@p:ubcv:r:238b4247-490208b9 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_TLL-ALM,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000276,✓,JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_TLL-ALM,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","Normal,Alarm",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-04-09T04:29:01-07:00 Los_Angeles,"","",17,2018-12-20T12:32:56-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T20:08:38.917-07:00 Los_Angeles,2018-11-25T13:45:23.997-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_TLL-ALM,✓,BI3000069,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_TLL-ALM.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:45.211Z UTC
@p:ubcv:r:238b4247-3eeb4133 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-2.SJ-FLR1_RHC003-V,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000288,✓,JCL-NAE56/N2-1.SJ-DC-2.SJ-FLR1_RHC003-V,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:39.051-07:00 Los_Angeles,2018-11-25T13:45:23.999-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-2.SJ-FLR1_RHC003-V,✓,AO3000082,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-2.SJ-FLR1_RHC003-V.Trend1,Los_Angeles,_,"","","","","",2020-04-09T19:15:20.437Z UTC
@p:ubcv:r:238b4247-9ff6cb40 Sing Tao Unsorted Points JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.Diff Temp,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3001026,✓,JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.Diff Temp,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25766,2018-11-20T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:39.053-07:00 Los_Angeles,2018-11-25T13:45:23.379-08:00 Los_Angeles,"","",JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.Diff Temp,✓,AV3000453,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.Diff Temp.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:17.513Z UTC
@p:ubcv:r:238b4247-75c0126a Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_MA-T,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000264,✓,JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_MA-T,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:39.054-07:00 Los_Angeles,2018-11-25T13:45:24.015-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_MA-T,✓,AI3000061,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_MA-T.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:17.514Z UTC
@p:ubcv:r:238b4247-6c55760e Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-1.SJ-FLR1_RHC001-T,✓,@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000215,✓,JCL-NAE56/N2-1.SJ-DC-1.SJ-FLR1_RHC001-T,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:39.056-07:00 Los_Angeles,2018-11-25T13:45:24.027-08:00 Los_Angeles,"","",Zone Temp,"",AI3000047,"","","","",✓,"","","","","","",✓,@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","",@p:ubcv:r:23e65d3e-3f42a398 .+(\.|-| |_)RHC\d+-T,✓,JCL-NAE56/N2-1.SJ-DC-1.SJ-FLR1_RHC001-T.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:17.515Z UTC
@p:ubcv:r:21dffdae-2d7b111b Sing Tao HW Main Meter Flow,"",@p:ubcv:r:21cad5a3-4a9603bb SOJ DES Meter,AI4,"",✓,"","",@p:ubcv:r:21cad5a3-4a9603bb SOJ DES Meter,✓,L/h => L/s,ok,0.05388888888888888L/s,"","","",$equipRef $navName,"","","","","",@p:ubcv:r:20a661de-a7c8bb1f Sing Tao HW Main Meter,"","",✓,@p:ubcv:r:21697fca-7b42701e Sing Tao Utilities,"",✓,0.25L/s,10min,"",2020-05-12T20:10:00-07:00 Los_Angeles,"",consumption,123011,2018-01-03T14:20:00-08:00 Los_Angeles,ok,"",✓,"",Number,"","","","",Flow,"","","","","","",✓,"","","","","","",✓,@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","","",Los_Angeles,L/s,✓,"","",✓,"",2020-04-28T00:03:36.241Z UTC
@p:ubcv:r:238b4247-13f76325 Sing Tao Unsorted Points JCL-NAE56/Programming.HVAC.SJ-AHU2.Optimum Start.Zone Occupied Schedule,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3001050,✓,JCL-NAE56/Programming.HVAC.SJ-AHU2.Optimum Start.Zone Occupied Schedule,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","Unoccupied,Occupied",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T12:30:00-07:00 Los_Angeles,"","",733,2018-11-19T06:00:00-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T20:08:38.944-07:00 Los_Angeles,2018-11-25T13:45:23.331-08:00 Los_Angeles,"","",Scheduled Occupancy,"",BV3000663,"","","","",✓,"","","","","",✓,"",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","",@p:ubcv:r:24ede125-239d50ec .+(S|s)chedule(.+)?,"",JCL-NAE56/Programming.HVAC.SJ-AHU2.Optimum Start.Zone Occupied Schedule.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:52:43.768Z UTC
@p:ubcv:r:238b4247-33d02fd2 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_EF7-S,✓,@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000198,✓,JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_EF7-S,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","Off,On",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,✓,✓,"",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T13:30:44-07:00 Los_Angeles,"","",177,2018-12-20T12:32:55-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T20:08:38.919-07:00 Los_Angeles,2018-11-25T13:45:23.949-08:00 Los_Angeles,"","",Exhaust Fan Run Feedback,"",BI3000033,"","","","",✓,"","","","",✓,"",✓,@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","",@p:ubcv:r:23e65d3d-9d7111b8 .+(\.|-| |_)EF-?(\d+)?\w?-S,"",JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_EF7-S.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:39.898Z UTC
@p:ubcv:r:238b4247-427b668a Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-3.SJ-HW_CON-F,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000339,✓,JCL-NAE56/N2-1.SJ-DC-3.SJ-HW_CON-F,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:39.058-07:00 Los_Angeles,2018-11-25T13:45:23.846-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-3.SJ-HW_CON-F,✓,AI3000107,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-3.SJ-HW_CON-F.Trend1,Los_Angeles,gal/min,"","","","","",2020-04-09T19:02:17.516Z UTC
@p:ubcv:r:2388a048-cb036128 Sing Tao HW Main Meter Water Delta Temp,"","","","","","","","","","","","","",✓,✓,$equipRef $navName,"","","","","",@p:ubcv:r:20a661de-a7c8bb1f Sing Tao HW Main Meter,"","","",@p:ubcv:r:21697fca-7b42701e Sing Tao Utilities,"",✓,"","","","",deltaTemp,consumption,"","","","","","",Number,"","","","",Water Delta Temp,"","","","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","",✓,"",Los_Angeles,°C,✓,"","",✓,"",2020-04-28T00:03:36.242Z UTC
