,uniqueId,max,min,mean,std,update_rate
81,Elec Submeters LEED-6SRMC1 Utilities 6SRMC1_EnergyPosSum 6SRMC1_EnergyPosSum,5106261.0,5104963.5,5105608.34375,381.93995512499947,0.6666666666666666
82,Elec Submeters LEED-6SRMC1 Utilities 6SRMC1_EnergyPosSumNR 6SRMC1_EnergyPosSumNR,5106261.0,5104963.5,5105608.375,381.9781449123691,0.6666666666666666
83,Elec Submeters LEED-6SRME1 Utilities 6SRME1_EnergyPosSum 6SRME1_EnergyPosSum,5106545.0,5105027.0,5105783.791666667,447.3311500453422,0.6666666666666666
84,Elec Submeters LEED-6SRME1 Utilities 6SRME1_EnergyPosSumNR 6SRME1_EnergyPosSumNR,5106545.0,5105027.0,5105783.802083333,447.3171412874064,0.6666666666666666
85,Elec Submeters LEED-6SRMW1 Utilities 6SRMW1_EnergyPosSum 6SRMW1_EnergyPosSum,1792955.375,1792564.375,1792759.6848958333,116.25219910317958,0.6666666666666666
86,Elec Submeters LEED-6SRMW1 Utilities 6SRMW1_EnergyPosSumNR 6SRMW1_EnergyPosSumNR,1792955.375,1792564.375,1792759.8307291667,116.24513399065047,0.6666666666666666
87,Elec Submeters LEED-ATS-DCA Utilities ATS-DCA_EnergyPosSum ATS-DCA_EnergyPosSum,7795787.0,7789964.0,7792869.645833333,1733.5317748604768,0.6666666666666666
88,Elec Submeters LEED-ATS-DCA Utilities ATS-DCA_EnergyPosSumNR ATS-DCA_EnergyPosSumNR,7795784.0,7789960.0,7792866.895833333,1733.6041750429715,0.6666666666666666
89,Elec Submeters LEED-ATS-DCB Utilities ATS-DCB_EnergyPosSum ATS-DCB_EnergyPosSum,3977620.75,3972809.25,3975209.125,1434.8323841988556,0.6666666666666666
90,Elec Submeters LEED-ATS-DCB Utilities ATS-DCB_EnergyPosSumNR ATS-DCB_EnergyPosSumNR,3977620.75,3972809.25,3975209.1979166665,1434.818255188132,0.6666666666666666
91,Elec Submeters LEED-ATS-S1 Utilities ATS-S1_EnergyPosSum ATS-S1_EnergyPosSum,9199991.0,9195846.0,9197891.541666666,1346.8468765499185,0.6666666666666666
